node,xcoord,ycoord,area_m2
1,524938.000000000000000,5361074.000000000000000,35613.57
4,525024.199999999953434,5361170.500000000931323,23348.45
5,525070.000000000000000,5361000.000000000000000,9936.31
16,525242.000000000000000,5360966.000000000000000,9337.71
6,524988.500000000000000,5361327.500000000000000,33617.33
13,524880.000000000000000,5362810.000000000000000,27818.02
2,524942.699999999953434,5361856.000000000000000,48521.58
9,525048.560000000055879,5361748.500000000000000,28191.77
8,525002.199999999953434,5361595.000000000000000,38528.82
3,524952.800000000046566,5362025.500000000000000,49639.58
15,525137.000000000000000,5361247.000000000000000,18069.65
7,525011.199999999953434,5361458.000000000000000,27289.31
10,525135.250000000000000,5361928.499999999068677,32861.70
20,525216.250000000000000,5361779.500000000000000,23196.36
11,525131.060000000055879,5362109.000000000000000,30688.67
28,524909.000000000000000,5362676.000000000000000,6455.95
12,524961.439999999944121,5362232.500000000000000,55217.80
24,525158.199999999953434,5362258.000000000000000,22436.58
26,524973.250000000000000,5362419.000000000000000,39459.61
14,525175.699999999953434,5361105.500000000000000,20085.04
17,525123.400000000023283,5361378.500000000000000,16128.86
18,525139.599999999976717,5361514.999999999068677,18247.83
19,525198.439999999944121,5361644.000000000000000,23335.50
36,525389.599999999976717,5361706.999999999068677,12562.95
21,525335.000000000000000,5361858.000000000000000,14167.77
22,525320.000000000000000,5362044.000000000000000,16487.94
23,525301.000000000000000,5362210.000000000000000,13432.74
25,525138.000000000000000,5362383.999999999068677,15026.08
27,524979.939999999944121,5362558.000000000000000,22898.79
29,525328.699999999953434,5361086.000000000000000,16969.11
32,525418.000000000000000,5360996.000000000000000,7506.87
30,525280.099999999976717,5361202.000000000000000,15920.48
31,525254.750000000000000,5361319.500000000000000,14557.70
33,525234.699999999953434,5361428.500000000000000,12958.71
42,525483.199999999953434,5361094.000000000000000,13908.43
34,525293.750000000000000,5361522.500000000931323,16359.41
45,525358.439999999944121,5361405.000000000000000,14415.08
35,525383.300000000046566,5361603.000000000000000,15998.16
47,525451.300000000046566,5361490.500000000931323,15276.32
37,525304.000000000000000,5362325.000000000931323,13529.11
50,525430.199999999953434,5362402.000000000000000,18096.60
38,525394.000000000000000,5362255.000000000000000,12252.65
39,525227.000000000000000,5362393.000000000000000,8553.30
51,525320.250000000000000,5362447.000000000000000,13359.21
40,525120.000000000000000,5362535.000000000000000,8963.63
41,525065.000000000000000,5362651.000000000000000,5322.34
43,525418.560000000055879,5361185.000000000000000,13605.82
56,525546.000000000000000,5361181.500000000000000,10613.75
44,525387.699999999953434,5361290.500000000000000,13943.21
46,525603.099999999976717,5361032.000000000000000,6050.75
55,525622.300000000046566,5361122.500000000000000,10277.96
58,525487.699999999953434,5361369.500000000000000,13194.46
48,525531.750000000000000,5361586.500000000931323,11501.50
61,525586.250000000000000,5361514.999999999068677,10290.80
49,525514.199999999953434,5361674.999999999068677,6080.25
53,525550.000000000000000,5362161.000000000000000,13596.09
52,525558.250000000000000,5362337.000000000000000,23757.90
54,525227.000000000000000,5362531.000000000000000,7282.72
65,525388.400000000023283,5362553.000000000000000,18960.70
71,525667.250000000000000,5361231.500000000000000,12238.45
57,525523.060000000055879,5361267.000000000000000,12023.13
60,525582.560000000055879,5361427.500000000000000,11086.14
70,525714.750000000000000,5361154.000000000000000,9544.75
59,525739.400000000023283,5361064.499999999068677,5547.49
72,525625.300000000046566,5361327.500000000000000,11475.56
62,525681.300000000046566,5361587.000000000000000,11415.56
76,525690.699999999953434,5361480.499999999068677,10117.75
63,525628.699999999953434,5361664.500000000000000,6163.94
79,525733.750000000000000,5361704.000000000000000,5131.34
64,525545.560000000055879,5362492.500000000000000,19748.80
81,525504.800000000046566,5362599.500000000000000,15343.47
80,525631.900000000023283,5362642.000000000000000,24961.87
68,525741.000000000000000,5362113.000000000000000,8100.68
66,525701.000000000000000,5362291.000000000000000,25492.05
67,525699.560000000055879,5362471.000000000000000,28081.80
