node_a,node_b,distance
8088,7990,99.18897368152673
7991,8087,120.5246348262409
8087,7989,115.09652297104127
8090,7991,112.77678661851371
8089,7991,113.59540307597314
7997,8098,121.50632740725212
8097,7997,136.91250636812683
8096,7997,114.64621930097228
8096,7996,136.1684251212355
8099,7998,127.3391141794225
8098,7998,140.76910172335118
7995,8095,117.13601538382052
8094,7995,131.7850996888495
8093,7995,120.26663086658743
8095,7996,107.8503945287256
8103,8002,160.0312469488381
8102,8002,159.1932473442458
8102,8001,150.64840390785193
8005,8106,119.8280501385729
8105,8004,125.96924227762902
8005,8105,85.3676144682368
8003,8104,205.55717842005078
8103,8003,154.03740324994158
8000,8101,128.62858352636866
8099,8000,128.94887552824957
8000,8100,165.23184469102802
8099,7999,148.55938206656492
8101,8001,132.8736377164599
8111,8013,93.6127854516163
8012,8111,116.77756633874505
8011,8109,143.62802651292037
8110,8011,160.7042625445931
8010,8108,95.88268873989726
8113,8015,227.6371235102051
8015,8114,196.99527913127432
8113,8014,203.27936442246173
8112,8013,119.19941275023129
8007,8107,99.74216761229927
8108,8007,144.32633162386327
8107,8108,98.20432780682951
8006,8107,127.5
8107,8010,120.6924189831369
8009,8108,148.44872010225666
8008,8109,119.36603369468217
8119,8023,164.46884203398528
8023,8120,225.13096099816605
8119,8022,208.85482996575828
8118,8022,190.10805480044291
8121,8024,261.4260124776957
8120,8024,195.1121052112956
8117,8020,199.6922632452244
8018,8115,231.36551169091732
8116,8018,199.54573410624442
8017,8115,163.47782724271815
8118,8021,201.21071666294534
8117,8021,213.6690255980469
7718,7635,424.3840948951519
7719,7718,386.64653108484924
7635,7719,410.9904621764499
7718,7634,401.03117085832616
7634,7635,401.0260091314875
7717,7634,395.2298824735101
7718,7717,403.48563791053823
7721,7720,383.71968622941773
7636,7721,396.3353070318436
7635,7636,418.7496149252183
7720,7635,386.2548511023138
7636,7720,405.95050190880596
7720,7719,414.8706906977369
7632,7633,426.9095801221673
7716,7632,405.10329991254537
7716,7631,397.501257859645
7631,7632,287.9526586089965
