node,xcoord,ycoord
1,524938.0,5361074.0
2,524942.7,5361856.0
3,524952.8,5362025.5
4,525024.2,5361170.5
5,525070.0,5361000.0
6,524988.5,5361327.5
7,525011.2,5361458.0
8,525002.2,5361595.0
9,525048.56,5361748.5
10,525135.25,5361928.5
11,525131.06,5362109.0
12,524961.44,5362232.5
13,524880.0,5362810.0
14,525175.7,5361105.5
15,525137.0,5361247.0
16,525242.0,5360966.0
17,525123.4,5361378.5
18,525139.6,5361515.0
19,525198.44,5361644.0
20,525216.25,5361779.5
21,525335.0,5361858.0
22,525320.0,5362044.0
23,525301.0,5362210.0
24,525158.2,5362258.0
25,525138.0,5362384.0
26,524973.25,5362419.0
27,524979.94,5362558.0
28,524909.0,5362676.0
29,525328.7,5361086.0
30,525280.1,5361202.0
31,525254.75,5361319.5
32,525418.0,5360996.0
33,525234.7,5361428.5
34,525293.75,5361522.5
35,525383.3,5361603.0
36,525389.6,5361707.0
37,525304.0,5362325.0
38,525394.0,5362255.0
39,525227.0,5362393.0
40,525120.0,5362535.0
41,525065.0,5362651.0
42,525483.2,5361094.0
43,525418.56,5361185.0
44,525387.7,5361290.5
45,525358.44,5361405.0
46,525603.1,5361032.0
47,525451.3,5361490.5
48,525531.75,5361586.5
49,525514.2,5361675.0
50,525430.2,5362402.0
51,525320.25,5362447.0
52,525558.25,5362337.0
53,525550.0,5362161.0
54,525227.0,5362531.0
55,525622.3,5361122.5
56,525546.0,5361181.5
57,525523.06,5361267.0
58,525487.7,5361369.5
59,525739.4,5361064.5
60,525582.56,5361427.5
61,525586.25,5361515.0
62,525681.3,5361587.0
63,525628.7,5361664.5
64,525545.56,5362492.5
65,525388.4,5362553.0
66,525701.0,5362291.0
67,525699.56,5362471.0
68,525741.0,5362113.0
69,525266.0,5362651.0
70,525714.75,5361154.0
71,525667.25,5361231.5
72,525625.3,5361327.5
73,525813.0,5361194.5
74,525857.0,5361105.0
75,525696.9,5361389.5
76,525690.7,5361480.5
77,525786.9,5361526.5
78,525798.6,5361630.0
79,525733.75,5361704.0
80,525631.9,5362642.0
81,525504.8,5362599.5
82,525448.0,5362705.0
83,525820.0,5362230.0
84,525864.0,5362416.0
85,525830.0,5362617.0
86,525778.3,5361306.5
87,525963.0,5361174.5
88,525917.9,5361270.5
89,525794.1,5361419.5
90,525885.9,5361469.0
91,525884.3,5361570.0
92,525903.6,5361664.5
93,525827.8,5361739.0
94,525728.1,5362747.5
95,525568.75,5362830.0
96,525899.4,5361368.5
97,526052.8,5361246.5
98,526026.4,5361343.0
99,525998.9,5361435.5
100,525964.7,5361519.5
101,525988.56,5361605.0
102,526010.8,5361705.0
103,525912.9,5361754.0
104,526148.75,5361313.0
105,526126.44,5361428.0
106,526061.9,5361523.5
107,526091.8,5361629.0
108,526126.5,5361739.5
109,526006.7,5361814.0
110,526241.06,5361385.0
111,526248.2,5361479.5
112,526164.1,5361542.5
113,526196.1,5361645.5
114,526250.94,5361733.5
115,526233.9,5361823.0
116,526112.94,5361834.0
117,526341.7,5361444.0
118,526385.2,5361512.5
119,526273.5,5361567.5
120,526301.75,5361652.5
121,526350.4,5361719.5
122,526353.0,5361803.5
123,526457.0,5361422.5
124,526510.6,5361495.0
125,526477.75,5361585.5
126,526370.4,5361592.0
127,526409.7,5361658.0
128,526446.25,5361735.0
129,526466.94,5361798.5
130,526573.44,5361410.0
131,526627.6,5361486.0
132,526575.94,5361559.0
133,526587.8,5361642.5
134,526503.3,5361674.0
135,526575.94,5361746.0
136,526574.0,5361856.0
137,526688.5,5361392.0
138,526726.7,5361502.0
139,526674.56,5361582.5
140,526690.0,5361684.5
141,526685.6,5361795.0
142,526681.4,5361913.0
143,526821.9,5361461.5
144,526800.06,5361356.0
145,526793.25,5361599.0
146,526796.1,5361725.0
147,526797.0,5361834.5
148,526805.1,5361917.5
149,526907.0,5361348.5
150,526935.25,5361457.0
151,526908.6,5361556.5
152,526901.4,5361669.0
153,526907.0,5361785.0
154,526916.56,5361898.5
155,527032.94,5361411.0
156,527041.06,5361328.5
157,527027.8,5361518.0
158,527014.7,5361618.5
159,527008.6,5361730.0
160,527025.3,5361843.5
161,527046.06,5361959.5
162,527169.44,5361356.5
163,527126.25,5361463.5
164,527102.0,5361257.5
165,527149.4,5361571.5
166,527107.7,5361674.5
167,527123.44,5361776.0
168,527149.9,5361897.5
169,527197.2,5362022.5
170,527082.9,5362094.0
171,527234.5,5361240.5
172,527320.94,5361349.5
173,527246.5,5361460.5
174,527119.6,5361147.0
175,527278.4,5361567.0
176,527231.3,5361687.0
177,527225.56,5361814.0
178,527285.06,5361927.0
179,527357.3,5362073.5
180,527240.7,5362155.5
181,527148.44,5362210.5
182,527286.3,5361121.5
183,527385.0,5361218.0
184,527474.5,5361335.0
185,527400.75,5361481.5
186,527177.0,5361059.0
187,527369.9,5361642.5
188,527333.9,5361786.5
189,527412.9,5361913.0
190,527506.8,5362037.5
191,527482.9,5362178.0
192,527364.3,5362260.0
193,527216.0,5362299.0
194,527327.6,5360985.5
195,527439.9,5361076.5
196,527541.5,5361187.0
197,527639.75,5361309.5
198,527567.2,5361456.0
199,527507.2,5361601.0
200,527224.06,5360875.5
201,527459.6,5361754.0
202,527541.9,5361875.0
203,527619.75,5361994.5
204,527649.44,5362168.0
205,527514.8,5362337.5
206,527368.0,5362451.0
207,527374.8,5360855.5
208,527487.56,5360925.5
209,527599.25,5361032.0
210,527707.5,5361155.5
211,527813.25,5361290.5
212,527738.0,5361441.5
213,527665.94,5361586.0
214,527600.2,5361727.5
215,527314.3,5360747.0
216,527143.8,5360725.5
217,527682.1,5361861.0
218,527735.75,5362008.0
219,527866.56,5362085.0
220,527783.0,5362244.5
221,527662.9,5362371.5
222,527549.0,5362539.0
223,527502.8,5360751.0
224,527639.8,5360863.5
225,527763.06,5360990.5
226,527880.9,5361131.5
227,527994.3,5361278.5
228,527914.0,5361436.5
229,527834.75,5361586.5
230,527757.75,5361729.0
231,527257.06,5360622.5
232,527407.0,5360642.0
233,527117.25,5360600.0
234,526991.5,5360629.0
235,527834.0,5361892.0
236,527996.2,5361924.5
237,528061.44,5362096.5
238,527935.94,5362264.0
239,527814.0,5362387.0
240,527735.0,5362534.0
241,527545.4,5360557.0
