node,habitat_ty
1,exit
2,exit
3,exit
4,exit
5,exit
6,exit
7,exit
8,exit
9,exit
10,exit
11,exit
12,exit
13,exit
14,exit
15,exit
16,OpenWater
17,exit
18,exit
19,exit
20,exit
21,OpenWater
22,OpenWater
23,OpenWater
24,exit
25,exit
26,exit
27,exit
28,exit
29,OpenWater
30,OpenWater
31,OpenWater
32,OpenWater
33,OpenWater
34,OpenWater
35,OpenWater
36,OpenWater
37,OpenWater
38,OpenWater
39,OpenWater
40,exit
41,exit
42,OpenWater
43,OpenWater
44,OpenWater
45,OpenWater
46,OpenWater
47,OpenWater
48,OpenWater
49,OpenWater
50,OpenWater
51,OpenWater
52,OpenWater
53,OpenWater
54,OpenWater
55,OpenWater
56,OpenWater
57,OpenWater
58,OpenWater
59,OpenWater
60,OpenWater
61,OpenWater
62,OpenWater
63,OpenWater
64,OpenWater
65,OpenWater
66,OpenWater
67,OpenWater
68,OpenWater
69,OpenWater
70,OpenWater
71,OpenWater
72,OpenWater
73,OpenWater
74,OpenWater
75,OpenWater
76,OpenWater
77,OpenWater
78,OpenWater
79,OpenWater
80,OpenWater
81,OpenWater
82,OpenWater
83,OpenWater
84,OpenWater
85,OpenWater
86,OpenWater
87,OpenWater
88,OpenWater
89,OpenWater
90,OpenWater
91,OpenWater
92,OpenWater
93,OpenWater
94,OpenWater
95,OpenWater
96,OpenWater
97,OpenWater
98,OpenWater
99,OpenWater
100,OpenWater
101,OpenWater
102,OpenWater
103,OpenWater
104,OpenWater
105,OpenWater
106,OpenWater
107,OpenWater
108,OpenWater
109,OpenWater
110,OpenWater
111,OpenWater
112,OpenWater
113,OpenWater
114,OpenWater
115,OpenWater
116,OpenWater
117,OpenWater
118,OpenWater
119,OpenWater
120,OpenWater
121,OpenWater
122,OpenWater
123,OpenWater
124,OpenWater
125,OpenWater
126,OpenWater
127,OpenWater
128,OpenWater
129,OpenWater
130,OpenWater
131,OpenWater
132,OpenWater
133,OpenWater
134,OpenWater
135,OpenWater
136,OpenWater
137,OpenWater
138,OpenWater
139,OpenWater
140,OpenWater
141,OpenWater
142,OpenWater
143,OpenWater
144,OpenWater
145,OpenWater
146,OpenWater
147,OpenWater
148,OpenWater
149,OpenWater
150,OpenWater
151,OpenWater
152,OpenWater
153,OpenWater
154,OpenWater
155,OpenWater
156,OpenWater
157,OpenWater
158,OpenWater
159,OpenWater
160,OpenWater
161,OpenWater
162,OpenWater
163,OpenWater
164,OpenWater
165,OpenWater
166,OpenWater
167,OpenWater
168,OpenWater
169,OpenWater
170,OpenWater
171,OpenWater
172,OpenWater
173,OpenWater
174,OpenWater
175,OpenWater
176,OpenWater
177,OpenWater
178,OpenWater
179,OpenWater
180,OpenWater
181,OpenWater
182,OpenWater
183,OpenWater
184,OpenWater
185,OpenWater
186,OpenWater
187,OpenWater
188,OpenWater
189,OpenWater
190,OpenWater
191,OpenWater
192,OpenWater
193,OpenWater
194,OpenWater
195,OpenWater
196,OpenWater
197,OpenWater
198,OpenWater
199,OpenWater
200,OpenWater
201,OpenWater
202,OpenWater
203,OpenWater
204,OpenWater
205,OpenWater
206,OpenWater
207,OpenWater
208,OpenWater
209,OpenWater
210,OpenWater
211,OpenWater
212,OpenWater
213,OpenWater
214,OpenWater
215,OpenWater
216,OpenWater
217,OpenWater
218,OpenWater
219,OpenWater
220,OpenWater
221,OpenWater
222,OpenWater
223,OpenWater
224,OpenWater
225,OpenWater
226,OpenWater
227,OpenWater
228,OpenWater
229,OpenWater
230,OpenWater
231,OpenWater
232,OpenWater
233,OpenWater
234,OpenWater
235,OpenWater
236,OpenWater
237,OpenWater
238,OpenWater
239,OpenWater
240,OpenWater
241,OpenWater
242,OpenWater
243,OpenWater
244,OpenWater
245,OpenWater
246,OpenWater
247,OpenWater
248,OpenWater
249,OpenWater
250,OpenWater
251,OpenWater
252,OpenWater
253,OpenWater
254,OpenWater
255,OpenWater
256,OpenWater
257,OpenWater
258,OpenWater
259,OpenWater
260,OpenWater
261,OpenWater
262,nearshore
263,OpenWater
264,OpenWater
265,OpenWater
266,nearshore
267,nearshore
268,OpenWater
269,OpenWater
270,nearshore
271,nearshore
272,nearshore
273,OpenWater
274,OpenWater
275,OpenWater
276,OpenWater
277,OpenWater
278,nearshore
279,nearshore
280,nearshore
281,OpenWater
282,OpenWater
283,OpenWater
284,OpenWater
285,OpenWater
286,OpenWater
287,nearshore
288,nearshore
289,OpenWater
290,OpenWater
291,OpenWater
292,OpenWater
293,OpenWater
294,OpenWater
295,OpenWater
296,nearshore
297,nearshore
298,nearshore
299,nearshore
300,OpenWater
301,OpenWater
302,OpenWater
303,OpenWater
304,OpenWater
305,OpenWater
306,OpenWater
307,nearshore
308,sub-tidal flat
309,nearshore
310,nearshore
311,OpenWater
312,OpenWater
313,OpenWater
314,OpenWater
315,OpenWater
316,OpenWater
317,OpenWater
318,nearshore
319,sub-tidal flat
320,nearshore
321,nearshore
322,OpenWater
323,OpenWater
324,OpenWater
325,OpenWater
326,OpenWater
327,OpenWater
328,OpenWater
329,nearshore
330,sub-tidal flat
331,nearshore
332,nearshore
333,OpenWater
334,OpenWater
335,OpenWater
336,OpenWater
337,OpenWater
338,OpenWater
339,OpenWater
340,OpenWater
341,nearshore
342,sub-tidal flat
343,nearshore
344,nearshore
345,OpenWater
346,OpenWater
347,OpenWater
348,OpenWater
349,OpenWater
350,OpenWater
351,OpenWater
352,OpenWater
353,OpenWater
354,OpenWater
355,OpenWater
356,nearshore
357,nearshore
358,nearshore
359,nearshore
360,OpenWater
361,nearshore
362,OpenWater
363,OpenWater
364,OpenWater
365,OpenWater
366,nearshore
367,nearshore
368,nearshore
369,OpenWater
370,OpenWater
371,OpenWater
372,OpenWater
373,OpenWater
374,OpenWater
375,OpenWater
376,OpenWater
377,OpenWater
378,nearshore
379,nearshore
380,nearshore
381,nearshore
382,OpenWater
383,OpenWater
384,nearshore
385,OpenWater
386,OpenWater
387,OpenWater
388,OpenWater
389,nearshore
390,nearshore
391,nearshore
392,OpenWater
393,OpenWater
394,OpenWater
395,OpenWater
396,OpenWater
397,nearshore
398,nearshore
399,nearshore
400,nearshore
401,nearshore
402,nearshore
403,nearshore
404,OpenWater
405,OpenWater
406,nearshore
407,nearshore
408,OpenWater
409,OpenWater
410,OpenWater
411,OpenWater
412,OpenWater
413,OpenWater
414,OpenWater
415,nearshore
416,nearshore
417,nearshore
418,nearshore
419,nearshore
420,OpenWater
421,OpenWater
422,OpenWater
423,OpenWater
424,nearshore
425,nearshore
426,nearshore
427,nearshore
428,nearshore
429,nearshore
430,nearshore
431,nearshore
432,nearshore
433,nearshore
434,nearshore
435,nearshore
436,nearshore
437,OpenWater
438,OpenWater
439,OpenWater
440,OpenWater
441,OpenWater
442,OpenWater
443,OpenWater
444,nearshore
445,nearshore
446,nearshore
447,OpenWater
448,OpenWater
449,OpenWater
450,OpenWater
451,nearshore
452,nearshore
453,nearshore
454,nearshore
455,nearshore
456,nearshore
457,nearshore
458,nearshore
459,nearshore
460,nearshore
461,nearshore
462,nearshore
463,nearshore
464,nearshore
465,nearshore
